RegionName,City,State,Metro,CountyName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
92054,Oceanside,CA,San Diego,San Diego,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.747759283,1.744149322,1.875,1.953125,1.902777778,1.962809917,2,1.994290375,2.164717536,2.206293706,2.194871795,2.240228789,2.225498094,1.998368679,2.052456183,2.081362346
92127,San Diego,CA,San Diego,San Diego,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.802543131,1.845637584,1.910127177,1.940074906,1.98630137,1.989528796,1.977704377,2.053775744,2.062297338,1.975,2.051835853,2.120938628
92025,Escondido,CA,San Diego,San Diego,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.679319982,1.735722284,1.644760213,1.771336554,1.688247012,1.772305141,1.885714286,1.936303148,1.806394316,1.852027539,1.810550416,1.813658746
92019,El Cajon,CA,San Diego,San Diego,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.866666667,1.947897898,2.024324324,2.016666667,2.042328042,2.008068783,2.042328042,1.989189189,2.043243243,2.047222222,2.048648649,1.962303343
91913,Chula Vista,CA,San Diego,San Diego,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.681547619,1.68288854,1.686507937,1.748925193,1.686507937,1.721698113,1.793635814,1.78,1.775862069,1.77225957,1.813647191,1.793637145,1.79425447,1.744053283,1.636065574,1.725941423,1.757523646,1.729984301,1.720400729,1.722857143,1.872362869,1.818761384,1.878656783,1.874517375,1.995234313,2.019557823,1.980187696,1.965290807,2.0172578,1.973472448,2.056190476,2.040816327
92102,San Diego,CA,San Diego,San Diego,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.051225887,2.130492676,2.2,2.256428571,2.278571429,2.202268431,2.37704918,2.3,2.376490816,2.421428571,2.296969697
92107,San Diego,CA,San Diego,San Diego,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.342516783,2.37804878,2.295,2.329473304,2.303539329,2.385,2.395833333,2.412797619,2.475685234,2.370772947,2.282752039,2.331288344
92108,San Diego,CA,San Diego,San Diego,818,,,,,,,,,,,,,,1.550935374,1.588838269,1.506649936,1.4975,1.532375211,1.494696239,1.5486082,1.59453303,1.649722736,1.655904059,1.629693389,1.642754418,1.694577888,1.695504665,1.684890656,1.702517766,1.722919937,1.733390119,1.719938703,1.640480591,1.652502361,1.737389912,1.690207888,1.65282392,1.65282392,1.658163265,1.721938776,1.702733485,1.702733485,1.729036729,1.767374274,1.758425709,1.804878049,1.832837345,1.896807721,1.9,1.908171862,1.988536155,1.959847036,1.907265774,1.904875717,1.845637584,1.854497354,1.917068467,1.925834933,1.995825603,2.043171379,2.057403413,2.046861185,2.073593074,2.062583328,2.049871173,1.99914966,1.997826909,2.077431539,2.084055459,2.093690249,2.06500956,2.054289307,2.157894737,2.0976593,2.091903592,2.088316467,2.060271847,2.100010281,2.10456942,2.097532989,2.127659574,2.154414429,2.214854111,2.25308642,2.186262466,2.12962963,2.116548588,2.088830255
92110,San Diego,CA,San Diego,San Diego,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,2.016129032,2.104591837,2.106482339,2.084828516,2.207840237,2.365912132,2.108235294,2.156188605,2.183529412,2.11875,2.169312169
92008,Carlsbad,CA,San Diego,San Diego,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.834967726,1.892706528,1.883333333,1.910526008,1.904698502,2.055950266,2.122557726,2.122557726,2.123142251,2.149415693,2.153589316,2.060849598,2.091165414,2.082130338,2.105555556,2.047400127,2.135879218,2.17263016,2.087264151,2.048774418,2.083333333,2.128537736,1.991725768,2.126315789,2,2.110737123,2.150599441,2.141715548,2.163120567,2.213467049,2.244552565,2.190275963,2.236842105,2.247668353,2.23495702,2.220630372,2.154320988
92123,San Diego,CA,San Diego,San Diego,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88470255,1.848687664,1.929309327,1.938135593,1.938135593,1.931089744,1.99318569,1.975206612,1.966310514,1.957482275,1.928176796,1.903029546,1.937441643,2.107995846,1.996809575,2.013157895,2.052117384,2.029143898,2.049102927,2.04459971,2.113192182,2.070910556,2.182410423,2.070116861,2.091960412,2.100977199,2.118389897,2.06405694,2.050632911,2.000238806,2.056057626,2.139473695,2.139344262,2.220367279,2.49660222,2.48870822,2.477915194,2.46931067,2.417374882,2.473612932,2.451993012,2.433745583
92124,San Diego,CA,San Diego,San Diego,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.841317365,1.927359567,1.976516634,1.985607997,1.99382716,1.977678571,2.024691358,1.995535714,1.941176471,1.91748366,2.005208333,1.977678571,1.962756849,2.033450704,2.057658451,2.105788423,2.148972603,2.157534247,2.1556902,2.1875,2.194049401,2.23488632,2.198649952,2.191964286,2.191780822,2.215395334,2.180987035,2.217936355,2.183098592,2.161091549,2.14980508,2.203187251,2.181818182,2.201120802,2.102678571,2.069441047,2.075892857,2.139756944,2.19667319,2.162426614,2.183219178,2.196581197,2.217881944,2.276999755,2.281678082,2.352678571,2.255381605,2.165798611,2.165637231
92081,Vista,CA,San Diego,San Diego,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.797180043,1.822442316,1.857826407,1.864967462,1.882863341,1.898047722,1.868107131,1.908888889,1.85791757,1.834056399,1.876355748,1.883242312
92011,Carlsbad,CA,San Diego,San Diego,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.082093992,2.144221429,2.321052632,2.163312693,2.306818182,2.42353621,2.414096916,2.446985489,2.365638767,2.317180617,2.309302747,2.294056309
91932,Imperial Beach,CA,San Diego,San Diego,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.938325991,2.044834308,1.994734603,1.937142857,2,2.11875,2.108194113,2.039428359,1.998663102,1.992722635,1.928571429,1.972149725
92118,Coronado,CA,San Diego,San Diego,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54691689,2.643678161,2.75,2.804428044,3.020100503,3.513513514,3.434228122,3.348789284,3.046218487,3.375431358,3.3,3.388402533
92075,Solana Beach,CA,San Diego,San Diego,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.417061611,2.402177033,2.559171598,2.5,2.5,2.417061611,2.321105384,2.545155993,2.747252747,2.747252747,2.534722222,2.542419267
