"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Downtown West","Saint Louis","MO","St. Louis","Saint Louis City",581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1200,1200,1200,1272.5,1175,1200,1200,1150,1175,1150,1162.5
"Downtown","Saint Petersburg","FL","Tampa","Pinellas",582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545,2350,2450,2600,2500,2450,2300,2350,2435,2500,2750,2900,2600
"South Pointe","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4500,4500,4500,4000,3900,3600,3900,3900,3900,3999,3800,4000,4225,3900,3625,3800,3800,4200,4000,3850,3960,3999,3900,3800,3900,3950,3900,3850,3900,3800,3900,3900
"Fulton River District","Chicago","IL","Chicago","Cook",584,,,,,,,,,,,,,,1903.5,1852,1853,1851.5,1850,1810,1798,1810,1897.5,1950,1950,1945,1940.5,2175,2050,1955,1940,1924,1840,1939.5,1958,1923,1899,1999,1950,1973,2031,2069,2007,2006,1982.5,1950,1950,1852,1895,1942.5,1950.5,2043,2035,1999,2075,2067.5,2035,2000,2043,2041.5,2000,2017.5,1975,2000,2040,2035,2040,2037.5,2040,2043,2040,2035,2037.5,2050,2043,2035,1950,2035,1951,2000,2035,2000,2002.5,1951,2035,2040,2095,2140,2200,2250,2300,2300,2185,2090,2035,2040,2043
"Ruskin Heights","Kansas City","MO","Kansas City","Jackson",585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,800,825,800,800,825,825,775,800,825,800,800
"Goose Island","Chicago","IL","Chicago","Cook",586,,,,,,,,,,,,,,2370,2200,2197.5,2297.5,2300,2450,2375,2375,2395,2400,2400,2395,2350,2295,2325,2355,2397.5,2397.5,2330,2385,2400,2397.5,2425,2385,2365,2400,2347.5,2360,2395,2425,2400,2365,2450,2400,2500,2600,2600,2600,2600,2600,2600,2500,2500,2500,2625,2500,2395,2550,2600,2600,2697.5,2697.5,2750,2700,2700,2600,2500,2575,2500,2700,2700,2672.5,2697.5,2700,2600,2500,2485,2400,2450,2400,2600,2697.5,2590,2625,2700,2697.5,2802,2800,2725,2625,2500,2500,2650
"Villages of Oriole","Delray Beach","FL","Miami-Fort Lauderdale","Palm Beach",587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1450,1450,1425,1375,1312.5,1397.5,1625,1625,1700,1850,1625,1425
"East Hampton North","East Hampton","NY","New York","Suffolk",588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,44000,40000,39250,38000,38000,39500,38000,38000,38000,38000,36000,35000,35000
"Upper Fells Point","Baltimore","MD","Baltimore","Baltimore City",589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1900,1975,1900,1950,2037.5,1800,1575,1700,1700,1750,1625
"Cathedral Heights","Washington","DC","Washington","District of Columbia",590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.5,1862.5,1900,1975,2000,1985,1900,1995,1900,1995,2000,2090
"West Plaza","Kansas City","MO","Kansas City","Jackson",591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1200,1297.5,1250,1252.5,1275,1300,1200,1200,1300,1300
"Thousand Oaks","San Antonio","TX","San Antonio","Bexar",592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,850,825,855,825,825,825,825,825,835.5,848,850,850,846,846,846,835.5,825,825,825,825,825,825,835.5,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,825,835.5,825,825,825,825,846,846,835.5,825,825,825,825
"Park Side","Hollywood","FL","Miami-Fort Lauderdale","Broward",593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1362.5,1337.5,1312.5,1375,1500,1475,1487.5,1525,1450,1425,1450
"South Addition","Anchorage","AK","Anchorage","Anchorage",594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1825,1862.5,1875,1897.5,1900,1950,1762.5,1750,1750,1900,1775
"Wrigleyville","Chicago","IL","Chicago","Cook",595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2495,2495,2497.5,2455,2500,2500,2450,2300,2280,1990,1990
"Friedrich Wilderness Park","San Antonio","TX","San Antonio","Bexar",596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,1530,1450,1495,1375,1559,1382,1472,1495,1559,1568,1535,1540,1585,1605,1628,1540,1568,1605,1595,1628,1595,1585,1595,1628,1600,1616.5,1595,1605,1585,1576.5,1585,1568,1585,1576.5,1568,1576.5,1600,1568,1554,1540,1554,1585,1576.5,1540,1554,1535,1530,1595,1628,1616.5,1628,1628,1628,1616.5,1616.5,1628,1628,1616.5,1595,1585
"Sendera Ranch","Fort Worth","TX","Dallas-Fort Worth","Tarrant",597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1495,1450,1512.5,1500,1512.5,1495,1462.5,1495,1500,1480,1425
"Courier City","Tampa","FL","Tampa","Hillsborough",598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1749.5,1749.5,1800,1737.5,1487.5,1700,1850,1850,1695,1750,1812.5
"Central Business District","Orlando","FL","Orlando","Orange",599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,1250,1199,1197,1350,1395,1437.5,1487.5,1500,1550,1495,1475,1400,1400,1300,1412.5,1575,1595,1400,1450,1497.5,1450,1587.5,1500,1475,1400,1485,1400,1475,1350,1475,1425,1450,1400,1400,1400,1537,1485,1450,1475,1475,1350,1495
"Downtown","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",600,,,,,,,,,,,,,2250,2290,2350,2225,2250,2200,2275,2350,2400,2500,2500,2400,2415,2450,2600,2599,2400,2495,2400,2300,2300,2447.5,2300,2350,2300,2325,2200,2300,2450,2475,2525,2650,2700,2525,2500,2599,2550,2600,2600,2600,2600,2600,2650,2600,2500,2500,2350,2350,2325,2450,2525,2525,2500,2612.5,2450,2200,2525,2425,2300,2492.5,2325,2275,2350,2500,2300,2250,2300,2422.5,2350,2595,2250,2500,2500,2525,2600,2600,2600,2600,2600,2500,2500,2650,2650,2600
"Downtown","Boston","MA","Boston","Suffolk",601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3750,3625,3500,3522.5,3675,3600,3700,3700,3800,3750,4277.5,4100,4050,4177.5,3850,4000,3850,3850,3800,3600,3850,3700,3975,4100,4177.5,3850,4255,4100,3850,4000,3925,3800,3950,4302.5,3850,3975,3995,4250,4255,4425,3850,3825,3850,3850,4227.5,4202.5,3987.5,3962.5,3950,3950,3950,3950,3750,3750
"Central Business District","Denver","CO","Denver","Denver",602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,2225,2000,2000,2200,2200,2100,2100,2200,2200,1999.5,2000,2099
